"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri May 17 15:55:52 CEST 2024","Fri May 17 15:55:52 CEST 2024","1","","Validaion of product searching and adding to Wishlist","","","","Check that popun message appears when if user tries to add the product in Wishlist when required fields are not filled in",""
"skipped","Fri May 17 17:50:43 CEST 2024","Fri May 17 17:50:43 CEST 2024","1","","Validaion of product searching and adding to Wishlist","","","","Check that popun message appears when if user tries to add the product in Wishlist when required fields are not filled in",""
"passed","Sun May 12 10:58:34 CEST 2024","Sun May 12 10:58:37 CEST 2024","2755","","Validaion of product searching and adding to card","","","","""before all"" hook for Validaion of product searching and adding to card",""
"skipped","Fri May 17 15:55:30 CEST 2024","Fri May 17 15:55:30 CEST 2024","1","","Validaion of product searching and adding to card","","","","Check that added products are displayed in Compare List",""
"skipped","Fri May 17 15:55:47 CEST 2024","Fri May 17 15:55:47 CEST 2024","0","","Validaion of product searching and adding to card","","","","Check that the total amount of items is displayed correctly in the cart",""
"passed","Fri May 17 15:55:42 CEST 2024","Fri May 17 15:55:43 CEST 2024","1462","","Validaion of Registration functionality","","","","Check that user can be registrated with correct data",""
"passed","Wed May 15 08:39:32 CEST 2024","Wed May 15 08:39:34 CEST 2024","2059","","Validaion of product searching and adding to card","","","","""before all"" hook for Validaion of product searching and adding to card",""
"broken","Mon May 13 17:29:26 CEST 2024","Mon May 13 17:29:40 CEST 2024","13363","","Validaion of product searching and adding to card","","","","Check that the total amount of items is displayed correctly in the cart",""
"skipped","Fri May 17 17:50:31 CEST 2024","Fri May 17 17:50:31 CEST 2024","1","","Validaion of product searching and adding to card","","","","Check that the total amount of items is displayed correctly in the cart",""
"skipped","Fri May 17 17:50:43 CEST 2024","Fri May 17 17:50:43 CEST 2024","3","","Validaion of product searching and adding to Wishlist","","","","Check that total price is changed correctly after updating quantity of products in Wishlist",""
"passed","Fri May 17 15:55:38 CEST 2024","Fri May 17 15:55:42 CEST 2024","3552","","Validaion of Registration functionality","","","","""before all"" hook for Validaion of Registration functionality",""
"passed","Wed May 08 21:06:55 CEST 2024","Wed May 08 21:06:58 CEST 2024","2753","","Login tests","","","","try to login with correct login and password",""
"failed","Fri May 17 17:40:01 CEST 2024","Fri May 17 17:40:02 CEST 2024","669","","Validaion of Registration functionality","","","","should return Name is required. error message is user left empty ,Wide,pass000,pass000 required field",""
"skipped","Fri May 17 15:55:52 CEST 2024","Fri May 17 15:55:52 CEST 2024","0","","Validaion of product searching and adding to Wishlist","","","","Check that link generated in Wishlist redirects to List of added product in Wishlist",""
"skipped","Fri May 17 17:50:43 CEST 2024","Fri May 17 17:50:43 CEST 2024","0","","Validaion of product searching and adding to Wishlist","","","","Check that the product can be moved to Shopping card from Wishlist",""
"passed","Wed May 15 19:20:35 CEST 2024","Wed May 15 19:20:39 CEST 2024","3463","","Validaion of product searching and adding to Wishlist","","","","Check that items can be added to Wishlist",""
"skipped","Wed May 15 08:39:32 CEST 2024","Wed May 15 08:39:32 CEST 2024","3","","Validaion of Login functionality","","","","Check that user's email displayed after login with valid login/password",""
"passed","Sat May 11 18:07:11 CEST 2024","Sat May 11 18:07:13 CEST 2024","1521","","Login tests","","","","""before all"" hook for Login tests",""
